row_id,source,report_date,status_id,water_source,water_tech,install_year,installer,fecal_coliform_value,fecal_coliform_presence,activity_id,clean_country_id,clean_country_name,clean_adm1,water_source_clean,water_source_category,water_tech_clean,_facility_type,management_clean,status_clean,count,updated,pay_clean,subjective_quality_clean,dataset_title
5894,"Ministry of Water and Environment, Uganda",2010-09-02T00:00:00.000,Yes,Shallow well,,2004,,,,010-00539,UGA,Uganda,Northern,Undefined Well,Well,,Unknown,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
816,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,Yes,Protected spring,,,,,,010-00434,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
32105,Water For People,2005-09-07T00:00:00.000,Yes,,Protected Shallow Well,,,,,,UGA,Uganda,Western,Undefined Well,Well,,Unknown,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
1179,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,Yes,Protected spring,,1987,,,,010-00447,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
666,"Ministry of Water and Environment, Uganda",2013-08-06T00:00:00.000,Yes,Deep borehole,,2013,,,,010-01931,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
13287,Water For People,2005-09-07T00:00:00.000,Yes,,Protected Shallow Well,,,,,,UGA,Uganda,Western,Undefined Well,Well,,Unknown,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
6097,"Ministry of Water and Environment, Uganda",2010-04-27T00:00:00.000,Yes,Deep borehole,,2001,,,,010-00545,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
6216,"Ministry of Water and Environment, Uganda",2010-04-27T00:00:00.000,Yes,Deep borehole,,,,,,010-00548,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
743,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Rainwater Harvest Tank,,2004,,,,010-00424,UGA,Uganda,Northern,Rainwater Harvesting,Rainwater Harvesting,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
1984,Water For People,2005-09-07T00:00:00.000,No,,Protected Deep Borehole,,,,,,UGA,Uganda,Western,Borehole/Tubewell,Well,,Improved,,Non-Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
1879,"Ministry of Water and Environment, Uganda",2010-04-23T00:00:00.000,Yes,Protected spring,,2000,,,,010-00464,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
1720,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Protected spring,,1966,,,,010-00460,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
2859,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,Yes,Shallow well,,2000,,,,010-00486,UGA,Uganda,Northern,Undefined Well,Well,,Unknown,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
142,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Deep borehole,,1994,,,,010-00389,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
870,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,Yes,Protected spring,,1989,,,,010-00438,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
125,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Deep borehole,,2010,,,,010-00387,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
10955,Water For People,2005-09-07T00:00:00.000,Yes,,Protected Deep Borehole,,,,,,UGA,Uganda,Western,Borehole/Tubewell,Well,,Improved,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
